name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Duncan Robinson,"['SG', 'SF']",64,29.9,.472,.900,3.8,3.3,1.4,1.51,0.5,0.2,0.9,13.3
Deni Avdija,['SF'],--,--,--,--,--,--,--,--,--,--,--,--
Chris Boucher,"['PF', 'C']",54,13.3,.461,.796,0.5,4.5,0.4,1.00,0.4,1.0,0.4,6.4
Nerlens Noel,['C'],55,18.5,.685,.765,0.0,4.9,1.0,0.98,1.0,1.5,1.0,7.7
Paul Millsap,"['PF', 'C']",42,24.4,.485,.839,1.0,5.8,1.6,1.14,0.9,0.6,1.4,11.8
Dewayne Dedmon,['C'],42,17.1,.397,.857,0.5,5.4,0.5,0.36,0.6,0.9,1.3,5.6
JaVale McGee,['C'],60,16.8,.644,.653,0.1,5.9,0.6,0.72,0.5,1.5,0.8,6.8
Jarrett Culver,"['SG', 'SF']",62,24.0,.401,.461,1.0,3.4,1.7,1.35,0.9,0.6,1.3,9.2
Devin Vassell,['SG'],--,--,--,--,--,--,--,--,--,--,--,--
Justin Holiday,"['SG', 'SF']",64,24.9,.440,.780,1.9,3.2,1.4,2.18,1.2,0.6,0.6,8.4
Rudy Gay,['PF'],59,21.5,.439,.874,1.0,5.4,1.7,1.29,0.4,0.5,1.3,9.9
Aaron Nesmith,['SF'],--,--,--,--,--,--,--,--,--,--,--,--
Isaac Okoro,['SF'],--,--,--,--,--,--,--,--,--,--,--,--
Norman Powell,"['SG', 'SF']",43,29.5,.503,.838,2.2,3.7,1.8,1.22,1.3,0.4,1.5,16.8
JJ Redick,['SG'],54,26.4,.450,.902,2.9,2.6,2.0,1.66,0.4,0.2,1.2,14.9
P.J. Tucker,"['SF', 'PF']",63,34.4,.433,.841,1.5,6.8,1.6,1.50,1.1,0.5,1.0,7.2
Enes Kanter,['C'],50,17.5,.568,.716,0.0,7.7,1.0,0.94,0.4,0.7,1.0,8.3
Cody Zeller,['C'],56,23.2,.521,.673,0.3,7.0,1.5,1.14,0.7,0.4,1.3,11.0
Dwight Howard,['C'],62,19.2,.732,.494,0.0,7.4,0.7,0.58,0.4,1.2,1.2,7.5
Moritz Wagner,"['C', 'PF']",36,19.1,.571,.808,0.6,5.3,1.3,0.89,0.6,0.5,1.5,9.5
Eric Gordon,['SG'],33,28.6,.371,.747,2.7,1.9,1.5,1.46,0.7,0.4,1.1,14.5
Patrick Beverley,['PG'],47,27.2,.425,.650,1.5,5.4,3.8,2.81,1.1,0.5,1.3,7.8
Alec Burks,['SG'],58,27.4,.405,.895,1.7,4.4,2.9,2.05,1.0,0.3,1.4,15.2
Matisse Thybulle,['SF'],56,19.6,.402,.610,0.9,1.5,1.2,1.57,1.4,0.7,0.8,4.6
Kentavious Caldwell-Pope,"['SG', 'SF']",62,25.5,.473,.779,1.4,2.0,1.7,1.94,0.9,0.2,0.9,9.6
Rajon Rondo,['PG'],47,20.6,.418,.659,0.9,3.0,5.1,2.67,0.9,0.0,1.9,7.2
Marcus Morris Sr.,"['PF', 'SF']",54,31.6,.432,.822,2.4,5.1,1.4,0.85,0.8,0.5,1.6,17.5
Trevor Ariza,['SF'],52,27.9,.433,.843,1.4,4.6,1.8,1.69,1.3,0.3,1.0,7.7
